result_type,donor_cm3,fermi_dirac_fermi_level_eV,boltzmann_fermi_level_eV,electron_ratio_fd_mb,hole_ratio_fd_mb,scope_notes
NUMERICAL RESULT,2.0079472228893253e+18,1.056250679548394,1.0556032669909974,0.9999999999999929,0.9752679396422804,Total doping exceeds 1e17 cm^-3: formal ideal-model study only; dopant interactions and band-gap narrowing are omitted.
NUMERICAL RESULT,2.2316385411283428e+18,1.0590532940975,1.0583338371438598,0.9999999999999218,0.972553844895323,Total doping exceeds 1e17 cm^-3: formal ideal-model study only; dopant interactions and band-gap narrowing are omitted.
NUMERICAL RESULT,2.4802497403707597e+18,1.0618639160045462,1.06106440729672,1.0000000000000142,0.9695469507950752,Total doping exceeds 1e17 cm^-3: formal ideal-model study only; dopant interactions and band-gap narrowing are omitted.
NUMERICAL RESULT,2.7565569697944366e+18,1.0646834329555417,1.0637949774495756,1.0000000000001634,0.9662168443603061,Total doping exceeds 1e17 cm^-3: formal ideal-model study only; dopant interactions and band-gap narrowing are omitted.
NUMERICAL RESULT,3.0636456498878254e+18,1.0675128305091397,1.066525547602434,1.0000000000000426,0.9625302276719588,Total doping exceeds 1e17 cm^-3: formal ideal-model study only; dopant interactions and band-gap narrowing are omitted.
NUMERICAL RESULT,3.4049449261977446e+18,1.0703532027629405,1.069256117755284,1.0000000000003695,0.9584507091163884,Total doping exceeds 1e17 cm^-3: formal ideal-model study only; dopant interactions and band-gap narrowing are omitted.
NUMERICAL RESULT,3.784265961327565e+18,1.073205764153204,1.0719866879083486,0.9999999999923971,0.9539385958110926,Total doping exceeds 1e17 cm^-3: formal ideal-model study only; dopant interactions and band-gap narrowing are omitted.
NUMERICAL RESULT,4.2058444927783357e+18,1.076071862501702,1.0747172580610118,0.999999999998586,0.9489506922916675,Total doping exceeds 1e17 cm^-3: formal ideal-model study only; dopant interactions and band-gap narrowing are omitted.
NUMERICAL RESULT,4.674388131860702e+18,1.0789529934336615,1.077447828213871,1.0000000000065299,0.9434401122415156,Total doping exceeds 1e17 cm^-3: formal ideal-model study only; dopant interactions and band-gap narrowing are omitted.
NUMERICAL RESULT,5.195128931846545e+18,1.0818508162986353,1.0801783983667304,1.0,0.9373561114921964,Total doping exceeds 1e17 cm^-3: formal ideal-model study only; dopant interactions and band-gap narrowing are omitted.
NUMERICAL RESULT,5.773881812370071e+18,1.084767171743969,1.0829089685195896,1.0,0.93064395290568,Total doping exceeds 1e17 cm^-3: formal ideal-model study only; dopant interactions and band-gap narrowing are omitted.
NUMERICAL RESULT,6.41710949248153e+18,1.0877041010888646,1.085639538672449,1.0,0.9232448162750038,Total doping exceeds 1e17 cm^-3: formal ideal-model study only; dopant interactions and band-gap narrowing are omitted.
NUMERICAL RESULT,7.131994657437095e+18,1.0906638676728366,1.0883701088253082,1.0,0.9150957689095895,Total doping exceeds 1e17 cm^-3: formal ideal-model study only; dopant interactions and band-gap narrowing are omitted.
NUMERICAL RESULT,7.926520165084697e+18,1.0936489803523746,1.0911006789781676,0.9999999999999929,0.9061298161643484,Total doping exceeds 1e17 cm^-3: formal ideal-model study only; dopant interactions and band-gap narrowing are omitted.
NUMERICAL RESULT,8.809558187480805e+18,1.0966622193356919,1.093831249131152,0.9999999999951541,0.8962760546062235,Total doping exceeds 1e17 cm^-3: formal ideal-model study only; dopant interactions and band-gap narrowing are omitted.
NUMERICAL RESULT,9.79096928314951e+18,1.0997066645540534,1.0965618192838655,0.9999999999982522,0.8854599544643963,Total doping exceeds 1e17 cm^-3: formal ideal-model study only; dopant interactions and band-gap narrowing are omitted.
NUMERICAL RESULT,1.0881712506287581e+19,1.1027857267779964,1.099292389436745,0.9999999999998224,0.8736038022538793,Total doping exceeds 1e17 cm^-3: formal ideal-model study only; dopant interactions and band-gap narrowing are omitted.
NUMERICAL RESULT,1.2093967782463052e+19,1.1059031816922953,1.102022959589606,0.999999999999922,0.8606273384460003,Total doping exceeds 1e17 cm^-3: formal ideal-model study only; dopant interactions and band-gap narrowing are omitted.
NUMERICAL RESULT,1.3441271917332974e+19,1.109063207152952,1.1047535297424635,1.0000000000023093,0.8464486292081055,Total doping exceeds 1e17 cm^-3: formal ideal-model study only; dopant interactions and band-gap narrowing are omitted.
NUMERICAL RESULT,1.493866975713816e+19,1.112270423846838,1.1074840998953228,1.0000000000069775,0.8309852144450354,Total doping exceeds 1e17 cm^-3: formal ideal-model study only; dopant interactions and band-gap narrowing are omitted.
NUMERICAL RESULT,1.6602882188928635e+19,1.1155299395775093,1.1102146700481874,0.999999999999794,0.8141555765602405,Total doping exceeds 1e17 cm^-3: formal ideal-model study only; dopant interactions and band-gap narrowing are omitted.
