result_type,reduced_fermi_energy,boltzmann_density_error_percent
NUMERICAL RESULT,-4.552301255230126,0.37200244387014525
NUMERICAL RESULT,-4.493723849372385,0.39439680572670444
NUMERICAL RESULT,-4.435146443514644,0.41813628965339245
NUMERICAL RESULT,-4.376569037656903,0.44330132053977955
NUMERICAL RESULT,-4.317991631799163,0.46997708651779213
NUMERICAL RESULT,-4.2594142259414225,0.49825381554056136
NUMERICAL RESULT,-4.200836820083682,0.5282270673512279
NUMERICAL RESULT,-4.142259414225942,0.5599980416169936
NUMERICAL RESULT,-4.083682008368201,0.5936739030341531
NUMERICAL RESULT,-4.02510460251046,0.6293681242377058
NUMERICAL RESULT,-3.96652719665272,0.6672008473787239
NUMERICAL RESULT,-3.907949790794979,0.7072992652608301
NUMERICAL RESULT,-3.8493723849372383,0.7497980229545176
NUMERICAL RESULT,-3.7907949790794975,0.7948396408349989
NUMERICAL RESULT,-3.7322175732217575,0.8425749600136756
NUMERICAL RESULT,-3.6736401673640167,0.893163611157255
NUMERICAL RESULT,-3.615062761506276,0.946774507709347
NUMERICAL RESULT,-3.556485355648536,1.0035863645484477
NUMERICAL RESULT,-3.497907949790795,1.0637882431317358
NUMERICAL RESULT,-3.439330543933054,1.1275801241861672
NUMERICAL RESULT,-3.380753138075314,1.1951735090177218
NUMERICAL RESULT,-3.3221757322175733,1.2667920505109231
NUMERICAL RESULT,-3.2635983263598325,1.3426722148925263
NUMERICAL RESULT,-3.2050209205020916,1.423063975322858
NUMERICAL RESULT,-3.1464435146443517,1.5082315383664335
NUMERICAL RESULT,-3.087866108786611,1.5984541043719602
NUMERICAL RESULT,-3.02928870292887,1.694026662762771
NUMERICAL RESULT,-2.97071129707113,1.7952608232020495
NUMERICAL RESULT,-2.912133891213389,1.9024856835499815
NUMERICAL RESULT,-2.8535564853556483,2.016048735474407
NUMERICAL RESULT,-2.7949790794979084,2.136316808509209
NUMERICAL RESULT,-2.7364016736401675,2.2636770532771466
NUMERICAL RESULT,-2.6778242677824267,2.398537964504799
NUMERICAL RESULT,-2.619246861924686,2.5413304443564932
NUMERICAL RESULT,-2.560669456066946,2.6925089065010344
NUMERICAL RESULT,-2.502092050209205,2.8525524212030806
NUMERICAL RESULT,-2.443514644351464,3.021965901589052
NUMERICAL RESULT,-2.384937238493724,3.201281331100092
NUMERICAL RESULT,-2.3263598326359833,3.3910590319821354
NUMERICAL RESULT,-2.2677824267782425,3.591888974496271
NUMERICAL RESULT,-2.2092050209205016,3.804392126368228
NUMERICAL RESULT,-2.1506276150627617,4.029221841812691
NUMERICAL RESULT,-2.092050209205021,4.267065289294014
NUMERICAL RESULT,-2.03347280334728,4.518644917007375
NUMERICAL RESULT,-1.97489539748954,4.784719954893624
NUMERICAL RESULT,-1.9163179916317983,5.066087951841536
NUMERICAL RESULT,-1.8577405857740583,5.36358634658578
NUMERICAL RESULT,-1.7991631799163184,5.678094070686868
NUMERICAL RESULT,-1.7405857740585766,6.010533181882849
NUMERICAL RESULT,-1.6820083682008367,6.361870526045066
NUMERICAL RESULT,-1.6234309623430967,6.733119425952783
NUMERICAL RESULT,-1.564853556485355,7.125341395136142
NUMERICAL RESULT,-1.506276150627615,7.539647875131483
NUMERICAL RESULT,-1.447698744769875,7.977201994656058
NUMERICAL RESULT,-1.3891213389121333,8.439220349445865
NUMERICAL RESULT,-1.3305439330543933,8.92697480182363
NUMERICAL RESULT,-1.2719665271966534,9.441794299478069
NUMERICAL RESULT,-1.2133891213389116,9.985066713443569
NUMERICAL RESULT,-1.1548117154811717,10.558240695885935
NUMERICAL RESULT,-1.0962343096234317,11.162827559013877
NUMERICAL RESULT,-1.03765690376569,11.800403177262918
NUMERICAL RESULT,-0.97907949790795,12.472609915825661
NUMERICAL RESULT,-0.92050209205021,13.181158589633867
NUMERICAL RESULT,-0.8619246861924683,13.92783045802275
NUMERICAL RESULT,-0.8033472803347284,14.714479261516477
NUMERICAL RESULT,-0.7447698744769866,15.543033308460586
NUMERICAL RESULT,-0.6861924686192467,16.41549762056258
NUMERICAL RESULT,-0.6276150627615067,17.333956147786168
NUMERICAL RESULT,-0.569037656903765,18.300574064440013
NUMERICAL RESULT,-0.510460251046025,19.317600159701385
NUMERICAL RESULT,-0.45188284518828503,20.387369337181195
NUMERICAL RESULT,-0.3933054393305433,21.512305239460616
NUMERICAL RESULT,-0.33472803347280333,22.69492301477245
NUMERICAL RESULT,-0.27615062761506337,23.93783224415369
NUMERICAL RESULT,-0.21757322175732163,25.243740048427487
NUMERICAL RESULT,-0.15899581589958167,26.61545439527537
NUMERICAL RESULT,-0.10041841004184171,28.0558876274138
NUMERICAL RESULT,-0.04184100418409997,29.568060233483994
NUMERICAL RESULT,0.01673640167363999,31.155104883702567
NUMERICAL RESULT,0.07531380753137995,32.8202707525945
NUMERICAL RESULT,0.1338912133891217,34.566928151250245
NUMERICAL RESULT,0.19246861924686165,36.398573491528865
