result_type,temperature_K,electron_incomplete_cm3,hole_incomplete_cm3,electron_complete_cm3,intrinsic_boltzmann_analytical_cm3,ionized_donor_fraction,fermi_level_eV,bandgap_eV,scope_notes
NUMERICAL RESULT,128.7335773842181,985144026546277.4,9.596101777254885e-24,999999999999998.9,9.723145568299027e-05,0.9851440265462774,1.0594403800114134,1.159249745286017,
NUMERICAL RESULT,131.06947467078334,986523017137560.9,6.713053456253023e-23,999999999999998.9,0.00025734926068214225,0.9865230171375539,1.0569974406218319,1.158906741801866,
NUMERICAL RESULT,133.4477572949137,987761563410937.1,4.542948737635911e-22,999999999985269.2,0.0006698907873492622,0.9877615634109441,1.0544985222496208,1.1585527619612483,
NUMERICAL RESULT,135.86919434729253,988874881549811.4,2.975778296013677e-21,1000000000000013.0,0.0017154566752509803,0.9888748815503312,1.0519425118861667,1.1581874781051273,
NUMERICAL RESULT,138.33456887391213,989876490485561.9,1.8878044667152746e-20,999999999999998.9,0.004322923794052832,0.9898764904857236,1.0493282584192494,1.157810553852194,
NUMERICAL RESULT,140.84467812929554,990778397926416.6,1.1605183103991945e-19,999999999999970.4,0.010723155716711898,0.9907783979264307,1.0466545732263586,1.1574216439113425,
NUMERICAL RESULT,143.40033383431384,991591268204510.4,6.917139469973342e-19,999999999999998.9,0.02619013561081403,0.9915912682044681,1.0439202306556994,1.1570203938918486,
NUMERICAL RESULT,146.00236243868002,992324573022733.8,3.999611121474488e-18,1000000000000005.9,0.06300045414202293,0.9923245730053887,1.0411239684001774,1.1566064401112839,
NUMERICAL RESULT,148.6516053882079,992986726220430.6,2.2447036912549863e-17,1000000000000005.9,0.14929970501232565,0.9929867262204376,1.0382644877690468,1.156179409401204,
NUMERICAL RESULT,151.34891939691866,993585204234224.6,1.2234318925432334e-16,1000000000000005.9,0.34865827205787286,0.9935852042187635,1.0353404538685944,1.155738918910645,
NUMERICAL RESULT,154.09517672408592,994126652864220.8,6.47896767180248e-16,999999999982228.1,0.8025666075393806,0.994126652853258,1.0323504956897187,1.1552845759074721,
